Promosyon,VadeIskonto,Promosyon_GecenAy,Lansman İçerik Kodu,BolgeDepoSayısı,Boya Tüketici Fiyat Endeksi,BaglantiKampanyasiBittiMi,BaglantiKampanyasi,IskontoOran,ToplamTeklifMiktari,VadeIskonto_GecenAy,CRMAktiviteTuru,CRMAktiviteBitiseUzaklik,CRM_Hedef_Kitle_Kisi_Sayi,Tüketici Fiyatlarının Değişimine Ilişkin Düşünce,DonemSonu,USD_Std6,Pesin_GecenAy,PromosyonIskonto,ToplamHedef,Konut Faiz Oranları_RM6,Satis,Yapı Kullanma İzin Belgesi - Daire Sayısı_RM6,KampanyaTuru_GecenAy,Boya ÜFE_RM6,Boya ÜFE_RM12,Binalar Ve Bina İnşaat İşleri_RM12,Binalar Ve Bina İnşaat İşleri_RM6,ToptanciStok,İnşaat Büyüme_RM3,IadeKampanyasi,Yıl,Ay,Bölüm5 Kod,MusteriGrup,ToplamTonaj
0.0,0.0,0.0,0,13.0,29.98320007324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.88000106811523,0.0,0.06942191052328991,30.8875,1.0,603119716.71,16.013916810353596,253956679.616133,54543.611328125,3.0,352.16500345865893,348.45916493733716,189.1708323160807,191.740000406901,935890.086,11.549965540568031,0.0,2019,11,5,Toptancı+Perakendeci,47885.609
0.0,0.0,0.0,0,13.0,30.04560089111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.65999984741211,1.0,0.07644802147775398,28.0,1.0,603119716.71,14.493500073750816,286204439.728892,57278.5,1.0,351.79166666666674,349.7991638183594,190.76583226521808,191.5233332316081,722667.559,16.501502990722653,0.0,2019,12,5,Toptancı+Perakendeci,144550.38199999998
0.0,0.0,0.0,0,13.0,29.92919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.70000076293945,1.0,0.10570992281533796,28.0,0.0,17038964.4,12.963833491007485,296563114.735144,57699.05533854166,1.0,352.3999989827473,350.83833058675134,192.19499969482425,193.13833363850915,542226.7679999999,8.313942591349281,0.0,2020,1,5,Toptancı+Perakendeci,71408.96
0.0,0.0,0.0,0,13.0,30.01499938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.65999984741211,1.0,0.1306522901197096,27.25,0.0,40839142.04,12.509333451588953,310302615.74906003,58119.61067708334,1.0,353.7799987792969,352.5008316040039,193.54250081380212,194.9083353678385,487214.985,0.12638219197591147,0.0,2020,2,5,Toptancı+Perakendeci,79738.835
0.0,0.0,0.0,0,13.0,29.97089958190918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.060001373291016,1.0,0.21928167526488168,30.8875,0.0,71529856.58,12.246000130971275,16444159.156887,58540.166015625,1.0,356.36333211263013,354.3924992879232,194.7816670735677,197.09166717529297,413122.463,-8.061178207397461,0.0,2020,3,5,Toptancı+Perakendeci,39415.693
0.0,0.0,0.0,0,13.0,30.07999992370605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.4049249903081016,30.8875,0.0,67533995.86,12.01350005467733,66370326.114361,54050.44401041666,1.0,359.67499796549487,356.269999186198,196.02166748046875,199.68166859944665,376488.898,-0.06946500142415364,0.0,2020,4,5,Toptancı+Perakendeci,40386.888
0.0,0.0,0.0,0,13.0,29.83819961547852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.599998474121094,1.0,0.4759023442555896,30.8875,0.0,57871896.22,11.72516679763794,20015226.840522,49560.72200520834,1.0,364.3316650390625,358.2483342488606,197.17166773478192,202.60333506266272,340811.553,7.922248204549152,0.0,2020,5,5,Toptancı+Perakendeci,46595.999
0.0,0.0,0.0,0,13.0,29.8435001373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.4431619654995632,29.4325,3.0,65764963.27,11.161416689554848,22466078.881758,45071.0,1.0,369.2716674804688,360.53166707356763,198.47000122070312,205.41666920979821,197637.665,15.913961410522461,0.0,2020,6,5,Toptancı+Perakendeci,129217.278
0.0,0.0,0.0,0,13.0,30.13870048522949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.79999923706055,1.0,0.3646996585468675,29.4325,3.0,38993602.36,10.70008341471354,20720977.436915,44920.5,1.0,373.41500345865893,362.9075012207031,200.00750096639,206.87666829427087,184258.28,10.365146279335024,0.0,2020,7,5,Toptancı+Perakendeci,187095.086
0.0,0.0,0.0,0,13.0,30.39259910583496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.20000076293945,1.0,0.3038263364698843,29.4325,3.0,37161873.23,10.64341672261556,48885355.53203,44770.0,1.0,379.4533386230469,366.6166687011719,202.0433349609375,209.1783345540365,144800.301,4.816331148147583,0.0,2020,8,5,Toptancı+Perakendeci,226076.264
0.0,0.0,0.0,0,13.0,30.457500457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,1.0,0.2865857219054885,29.4325,0.0,65016847.68,11.10133330027262,48196438.003403,44619.5,1.0,386.3866729736328,371.3750025431315,204.59166717529297,212.09166717529297,136064.82,-0.732483983039856,0.0,2020,9,5,Toptancı+Perakendeci,33906.263
0.0,0.0,0.0,0,13.0,30.742000579833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.79999923706055,1.0,0.4220666910516102,27.3664,0.0,58153131.77,11.658583323160805,75161670.286863,46096.66666666666,1.0,394.01667277018237,376.8458353678386,207.665833791097,215.64999898274743,108770.067,1.1783440113067627,0.0,2020,10,5,Toptancı+Perakendeci,130141.388
0.0,0.0,0.0,0,13.0,31.1072998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.5051042209555983,27.3664,0.0,38802119.33,12.39874998728434,23722551.325099,47573.83333333334,1.0,402.3100026448568,383.3208338419597,211.2866668701172,219.9699986775716,118622.447,3.0891720056533813,0.0,2020,11,5,Toptancı+Perakendeci,12070.595
0.0,0.0,0.0,0,13.0,31.41250038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1.0,0.4290794695393167,22.4,0.0,29511621.73,13.880416552225745,54875795.08467,49051.0,1.0,410.58167012532545,389.9266688028972,215.0258331298828,224.6349970499674,111326.488,5.0,0.0,2020,12,5,Toptancı+Perakendeci,14979.596
0.0,0.0,0.0,0,13.0,31.768400192260746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29999923706055,1.0,0.290494787662181,22.4,0.0,33023323.3,15.42608324686686,13025823.107688,48034.0,1.0,419.0333353678386,396.2241694132488,218.20749918619788,229.538330078125,96011.415,1.7460317611694336,0.0,2021,1,5,Toptancı+Perakendeci,10250.521
